,team_long_name,team_id,season,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,field players rating,gk rating
141,Queens Park Rangers,10172.0,2012/2013,58,Balanced,Little,54,Mixed,Organised,53,Normal,39,Normal,54,Normal,Organised,49,Medium,47,Press,44,Normal,Cover,74.43333333333334,80.66666666666667
142,Queens Park Rangers,10172.0,2014/2015,52,Balanced,Normal,53,Mixed,Organised,53,Normal,54,Normal,54,Normal,Organised,50,Medium,44,Press,54,Normal,Cover,74.07692307692308,75.92307692307692
143,Norwich City,9850.0,2011/2012,63,Balanced,Little,61,Mixed,Organised,42,Normal,76,Lots,62,Normal,Organised,40,Medium,50,Press,42,Normal,Cover,70.35,74.0
144,Norwich City,9850.0,2012/2013,70,Fast,Little,70,Long,Organised,56,Normal,67,Lots,48,Normal,Organised,40,Medium,43,Press,53,Normal,Cover,73.12,74.0
145,Norwich City,9850.0,2013/2014,70,Fast,Little,70,Long,Organised,56,Normal,67,Lots,48,Normal,Organised,40,Medium,43,Press,53,Normal,Cover,73.81176470588235,79.0
146,Norwich City,9850.0,2015/2016,45,Balanced,Normal,55,Mixed,Organised,46,Normal,54,Normal,47,Normal,Organised,38,Medium,39,Press,51,Normal,Cover,73.63157894736842,73.94736842105263
147,Southampton,8466.0,2012/2013,47,Balanced,Little,38,Mixed,Organised,52,Normal,56,Normal,58,Normal,Free Form,57,Medium,63,Press,44,Normal,Cover,73.26,71.0
148,Southampton,8466.0,2013/2014,47,Balanced,Little,38,Mixed,Organised,52,Normal,56,Normal,58,Normal,Free Form,57,Medium,63,Press,44,Normal,Cover,75.03076923076924,75.15384615384616
149,Southampton,8466.0,2014/2015,47,Balanced,Normal,40,Mixed,Organised,42,Normal,56,Normal,51,Normal,Free Form,62,Medium,64,Press,44,Normal,Cover,75.95454545454545,73.45454545454545
150,Southampton,8466.0,2015/2016,52,Balanced,Little,46,Mixed,Organised,42,Normal,54,Normal,30,Little,Organised,50,Medium,65,Press,44,Normal,Cover,76.44,76.0
151,Reading,9798.0,2012/2013,49,Balanced,Little,61,Mixed,Organised,55,Normal,58,Normal,37,Normal,Organised,39,Medium,44,Press,52,Normal,Cover,70.375,71.5
152,Crystal Palace,9826.0,2013/2014,52,Balanced,Little,47,Mixed,Organised,69,Risky,66,Normal,47,Normal,Organised,36,Medium,33,Contain,53,Normal,Cover,71.39444444444445,73.88888888888889
153,Crystal Palace,9826.0,2014/2015,61,Balanced,Normal,68,Long,Organised,67,Risky,62,Normal,52,Normal,Organised,36,Medium,34,Press,48,Normal,Cover,73.15,74.86363636363636
154,Crystal Palace,9826.0,2015/2016,61,Balanced,Normal,67,Long,Organised,67,Risky,69,Lots,50,Normal,Organised,36,Medium,34,Press,41,Normal,Cover,75.81333333333333,74.26666666666667
155,Cardiff City,8344.0,2013/2014,60,Balanced,Little,69,Long,Organised,54,Normal,59,Normal,62,Normal,Organised,47,Medium,43,Press,56,Normal,Cover,72.50588235294117,73.0
156,Leicester City,8197.0,2014/2015,63,Balanced,Normal,48,Mixed,Organised,47,Normal,62,Normal,69,Lots,Organised,58,Medium,62,Press,54,Normal,Cover,70.5,73.28571428571429
157,Leicester City,8197.0,2015/2016,63,Balanced,Normal,60,Mixed,Organised,47,Normal,64,Normal,46,Normal,Organised,58,Medium,65,Press,55,Normal,Cover,73.93888888888888,76.0
158,Bournemouth,8678.0,2015/2016,47,Balanced,Normal,47,Mixed,Organised,49,Normal,45,Normal,47,Normal,Organised,48,Medium,50,Press,62,Normal,Cover,71.94117647058823,75.47058823529412
159,Watford,9817.0,2015/2016,61,Balanced,Little,52,Mixed,Organised,54,Normal,42,Normal,45,Normal,Free Form,38,Medium,52,Press,45,Normal,Cover,74.13333333333334,76.0
160,FC Nantes,9830.0,2014/2015,63,Balanced,Normal,48,Mixed,Organised,52,Normal,55,Normal,49,Normal,Organised,47,Medium,51,Press,54,Normal,Cover,,75.0
161,FC Nantes,9830.0,2015/2016,63,Balanced,Lots,56,Mixed,Organised,52,Normal,55,Normal,46,Normal,Organised,39,Medium,41,Press,52,Normal,Cover,72.03947368421052,77.75
162,Girondins de Bordeaux,9827.0,2014/2015,38,Balanced,Normal,36,Mixed,Organised,49,Normal,55,Normal,51,Normal,Organised,37,Medium,33,Contain,49,Normal,Cover,72.63333333333334,80.0
163,Girondins de Bordeaux,9827.0,2015/2016,51,Balanced,Normal,48,Mixed,Organised,49,Normal,63,Normal,44,Normal,Organised,57,Medium,52,Press,49,Normal,Cover,72.22222222222223,73.44444444444444
164,SM Caen,7819.0,2014/2015,62,Balanced,Normal,45,Mixed,Organised,48,Normal,54,Normal,53,Normal,Organised,43,Medium,42,Press,51,Normal,Cover,68.75833333333334,71.0
165,SM Caen,7819.0,2015/2016,62,Balanced,Normal,45,Mixed,Organised,48,Normal,54,Normal,53,Normal,Organised,43,Medium,42,Press,51,Normal,Cover,71.80314960629921,76.0
166,OGC Nice,9831.0,2014/2015,48,Balanced,Normal,66,Mixed,Organised,49,Normal,66,Normal,34,Normal,Organised,56,Medium,47,Press,64,Normal,Cover,69.72857142857143,71.0
167,OGC Nice,9831.0,2015/2016,48,Balanced,Normal,53,Mixed,Organised,49,Normal,66,Normal,38,Normal,Organised,57,Medium,47,Press,61,Normal,Cover,73.95625,67.25
168,FC Lorient,8689.0,2014/2015,60,Balanced,Normal,42,Mixed,Organised,48,Normal,53,Normal,64,Normal,Organised,43,Medium,47,Press,48,Normal,Cover,70.14388489208633,71.0
169,FC Lorient,8689.0,2015/2016,57,Balanced,Normal,50,Mixed,Organised,48,Normal,53,Normal,46,Normal,Organised,51,Medium,56,Press,55,Normal,Cover,71.38888888888889,76.0
170,Olympique Lyonnais,9748.0,2014/2015,49,Balanced,Normal,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover,74.46428571428571,78.0
171,Olympique Lyonnais,9748.0,2015/2016,49,Balanced,Normal,52,Mixed,Organised,49,Normal,54,Normal,67,Lots,Organised,46,Medium,47,Press,47,Normal,Cover,76.845,80.1
172,Toulouse FC,9941.0,2011/2012,49,Balanced,Little,53,Mixed,Organised,52,Normal,34,Normal,36,Normal,Organised,36,Medium,45,Press,49,Normal,Cover,74.3,73.0
173,Toulouse FC,9941.0,2014/2015,49,Balanced,Normal,53,Mixed,Organised,52,Normal,34,Normal,57,Normal,Organised,36,Medium,52,Press,49,Normal,Cover,71.58,73.8
174,Toulouse FC,9941.0,2015/2016,49,Balanced,Normal,53,Mixed,Organised,52,Normal,34,Normal,36,Normal,Organised,36,Medium,45,Press,49,Normal,Cover,72.87142857142857,68.57142857142857
175,AS Monaco,9829.0,2014/2015,52,Balanced,Lots,48,Mixed,Organised,37,Normal,37,Normal,37,Normal,Organised,35,Medium,34,Press,51,Normal,Cover,76.26,78.0
176,AS Monaco,9829.0,2015/2016,52,Balanced,Normal,43,Mixed,Organised,54,Normal,56,Normal,23,Little,Organised,56,Medium,62,Press,51,Normal,Cover,76.375,81.0
177,Paris Saint-Germain,9847.0,2014/2015,49,Balanced,Lots,55,Mixed,Organised,62,Normal,61,Normal,68,Lots,Organised,57,Medium,53,Press,56,Normal,Cover,81.15714285714286,81.23809523809524
178,Paris Saint-Germain,9847.0,2015/2016,49,Balanced,Normal,34,Mixed,Organised,62,Normal,61,Normal,35,Normal,Organised,57,Medium,53,Press,56,Normal,Cover,82.48571428571428,82.0
179,LOSC Lille,8639.0,2014/2015,45,Balanced,Normal,42,Mixed,Organised,68,Risky,52,Normal,49,Normal,Organised,59,Medium,42,Press,48,Normal,Cover,73.34166666666667,81.0
180,LOSC Lille,8639.0,2015/2016,45,Balanced,Normal,43,Mixed,Organised,68,Risky,52,Normal,64,Normal,Organised,59,Medium,42,Press,48,Normal,Cover,74.50909090909092,78.27272727272727
181,Stade Rennais FC,9851.0,2014/2015,64,Balanced,Normal,41,Mixed,Organised,49,Normal,52,Normal,64,Normal,Organised,46,Medium,44,Press,51,Normal,Cover,72.74615384615385,79.0
182,Stade Rennais FC,9851.0,2015/2016,64,Balanced,Normal,41,Mixed,Organised,49,Normal,52,Normal,64,Normal,Organised,46,Medium,44,Press,51,Normal,Cover,73.38666666666667,79.4
183,Olympique de Marseille,8592.0,2014/2015,51,Balanced,Normal,50,Mixed,Organised,49,Normal,69,Lots,68,Lots,Organised,48,Medium,48,Press,60,Normal,Cover,75.5875,82.0
184,Olympique de Marseille,8592.0,2015/2016,51,Balanced,Lots,41,Mixed,Organised,49,Normal,69,Lots,31,Little,Organised,48,Medium,48,Press,60,Normal,Cover,75.95,82.28571428571429
185,AS Saint-Étienne,9853.0,2011/2012,49,Balanced,Little,52,Mixed,Organised,48,Normal,52,Normal,52,Normal,Organised,35,Medium,44,Press,50,Normal,Cover,72.6,79.0
186,AS Saint-Étienne,9853.0,2014/2015,58,Balanced,Normal,52,Mixed,Organised,48,Normal,52,Normal,52,Normal,Organised,35,Medium,44,Press,50,Normal,Cover,74.62352941176471,83.0
187,AS Saint-Étienne,9853.0,2015/2016,58,Balanced,Normal,52,Mixed,Organised,48,Normal,64,Normal,52,Normal,Organised,48,Medium,51,Press,49,Normal,Cover,74.8735632183908,83.0
188,RC Lens,8588.0,2014/2015,64,Balanced,Normal,49,Mixed,Organised,49,Normal,53,Normal,34,Normal,Organised,46,Medium,44,Press,49,Normal,Cover,67.15,68.9
189,Montpellier Hérault SC,10249.0,2014/2015,52,Balanced,Normal,47,Mixed,Organised,48,Normal,49,Normal,52,Normal,Organised,53,Medium,56,Press,48,Normal,Cover,71.64615384615385,72.84615384615384
190,Montpellier Hérault SC,10249.0,2015/2016,54,Balanced,Normal,65,Mixed,Organised,48,Normal,49,Normal,45,Normal,Organised,53,Medium,56,Press,48,Normal,Cover,72.67272727272727,71.81818181818181
191,Évian Thonon Gaillard FC,4087.0,2014/2015,61,Balanced,Normal,44,Mixed,Organised,52,Normal,61,Normal,48,Normal,Organised,47,Medium,56,Press,50,Normal,Cover,68.91919191919192,67.8
192,Stade de Reims,9837.0,2014/2015,48,Balanced,Normal,48,Mixed,Organised,48,Normal,52,Normal,50,Normal,Organised,33,Deep,44,Press,50,Normal,Cover,71.24031007751938,73.92307692307692
193,Stade de Reims,9837.0,2015/2016,48,Balanced,Normal,49,Mixed,Organised,48,Normal,52,Normal,58,Normal,Organised,33,Deep,44,Press,50,Normal,Cover,71.17777777777778,70.66666666666667
194,SC Bastia,7794.0,2014/2015,67,Fast,Normal,43,Mixed,Organised,56,Normal,51,Normal,49,Normal,Organised,39,Medium,47,Press,48,Normal,Cover,70.03875968992249,71.23076923076923
195,SC Bastia,7794.0,2015/2016,61,Balanced,Normal,52,Mixed,Organised,56,Normal,51,Normal,49,Normal,Organised,44,Medium,55,Press,48,Normal,Cover,70.08571428571429,69.42857142857143
196,ES Troyes AC,10242.0,2015/2016,49,Balanced,Normal,51,Mixed,Organised,52,Normal,49,Normal,46,Normal,Organised,43,Medium,42,Press,52,Normal,Cover,67.15,66.0
197,En Avant de Guingamp,9747.0,2014/2015,63,Balanced,Normal,48,Mixed,Organised,53,Normal,49,Normal,48,Normal,Organised,43,Medium,47,Press,49,Normal,Cover,70.9125,72.25
198,En Avant de Guingamp,9747.0,2015/2016,63,Balanced,Normal,58,Mixed,Organised,42,Normal,56,Normal,36,Normal,Organised,49,Medium,47,Press,49,Normal,Cover,71.71538461538462,76.0
199,FC Metz,8550.0,2014/2015,55,Balanced,Normal,49,Mixed,Organised,49,Normal,54,Normal,53,Normal,Organised,46,Medium,54,Press,50,Normal,Cover,68.7,67.71428571428571
200,Angers SCO,8121.0,2015/2016,48,Balanced,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover,69.93076923076923,69.6923076923077
201,GFC Ajaccio,6391.0,2015/2016,48,Balanced,Normal,52,Mixed,Organised,55,Normal,53,Normal,55,Normal,Organised,42,Medium,46,Press,53,Normal,Cover,68.01428571428572,69.35714285714286
202,FC Bayern Munich,9823.0,2008/2009,65,Balanced,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover,82.9375,78.5
203,FC Bayern Munich,9823.0,2009/2010,65,Balanced,Little,40,Mixed,Free Form,65,Normal,70,Lots,70,Lots,Free Form,70,High,40,Press,65,Normal,Cover,80.26,78.5
204,FC Bayern Munich,9823.0,2010/2011,42,Balanced,Little,40,Mixed,Organised,34,Normal,30,Little,72,Lots,Free Form,39,Medium,52,Press,65,Normal,Cover,80.9,76.71428571428571
205,FC Bayern Munich,9823.0,2011/2012,47,Balanced,Little,40,Mixed,Organised,34,Normal,31,Little,55,Normal,Organised,49,Medium,35,Press,50,Normal,Cover,82.37,87.0
206,FC Bayern Munich,9823.0,2014/2015,37,Balanced,Normal,22,Short,Free Form,21,Safe,38,Normal,40,Normal,Free Form,61,Medium,59,Press,40,Normal,Cover,83.09166666666667,89.16666666666667
207,FC Bayern Munich,9823.0,2015/2016,45,Balanced,Little,28,Short,Free Form,37,Normal,31,Little,22,Little,Free Form,72,High,53,Press,59,Normal,Cover,82.67647058823529,90.0
208,Hamburger SV,9790.0,2008/2009,70,Fast,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover,76.525,82.0
209,Hamburger SV,9790.0,2009/2010,70,Fast,Little,60,Mixed,Organised,70,Risky,60,Normal,70,Lots,Organised,70,High,45,Press,60,Normal,Cover,77.875,79.0
210,Hamburger SV,9790.0,2010/2011,52,Balanced,Little,29,Short,Organised,61,Normal,58,Normal,54,Normal,Organised,60,Medium,55,Press,52,Normal,Cover,76.4,80.0
211,Hamburger SV,9790.0,2011/2012,46,Balanced,Little,40,Mixed,Organised,60,Normal,55,Normal,39,Normal,Organised,55,Medium,47,Press,48,Normal,Cover,74.82,78.0
212,Hamburger SV,9790.0,2014/2015,45,Balanced,Normal,58,Mixed,Organised,60,Normal,73,Lots,62,Normal,Organised,45,Medium,32,Contain,63,Normal,Cover,74.26923076923077,76.92307692307692
213,Hamburger SV,9790.0,2015/2016,42,Balanced,Normal,52,Mixed,Organised,62,Normal,58,Normal,47,Normal,Organised,44,Medium,41,Press,49,Normal,Cover,74.375,79.0
214,Bayer 04 Leverkusen,8178.0,2008/2009,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,78.075,85.0
215,Bayer 04 Leverkusen,8178.0,2009/2010,70,Fast,Little,30,Short,Organised,70,Risky,70,Lots,70,Lots,Organised,70,High,60,Press,70,Wide,Cover,77.44,84.0
216,Bayer 04 Leverkusen,8178.0,2010/2011,67,Fast,Little,38,Mixed,Organised,51,Normal,47,Normal,55,Normal,Organised,57,Medium,39,Press,51,Normal,Cover,78.1,81.57142857142857
217,Bayer 04 Leverkusen,8178.0,2011/2012,58,Balanced,Little,55,Mixed,Organised,52,Normal,55,Normal,56,Normal,Organised,50,Medium,42,Press,47,Normal,Cover,77.28333333333333,78.0
218,Bayer 04 Leverkusen,8178.0,2014/2015,69,Fast,Little,55,Mixed,Organised,52,Normal,55,Normal,39,Normal,Organised,50,Medium,46,Press,54,Normal,Cover,76.71666666666667,82.0
219,Bayer 04 Leverkusen,8178.0,2015/2016,73,Fast,Little,55,Mixed,Organised,77,Risky,54,Normal,61,Normal,Organised,61,Medium,72,Double,50,Normal,Cover,77.89166666666667,83.0
220,Borussia Dortmund,9789.0,2008/2009,70,Fast,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap,75.9,79.0
221,Borussia Dortmund,9789.0,2009/2010,70,Fast,Little,45,Mixed,Organised,70,Risky,34,Normal,66,Normal,Free Form,54,Medium,70,Double,53,Normal,Offside Trap,76.46666666666667,77.66666666666667
222,Borussia Dortmund,9789.0,2010/2011,73,Fast,Little,43,Mixed,Organised,60,Normal,53,Normal,64,Normal,Organised,59,Medium,67,Double,46,Normal,Cover,77.775,81.0
223,Borussia Dortmund,9789.0,2011/2012,71,Fast,Little,45,Mixed,Organised,67,Risky,44,Normal,70,Lots,Free Form,58,Medium,69,Double,46,Normal,Cover,79.42,80.6
224,Borussia Dortmund,9789.0,2014/2015,76,Fast,Little,61,Mixed,Organised,53,Normal,44,Normal,73,Lots,Free Form,60,Medium,68,Double,43,Normal,Cover,80.4076923076923,80.46153846153847
225,Borussia Dortmund,9789.0,2015/2016,71,Fast,Normal,40,Mixed,Organised,70,Risky,44,Normal,49,Normal,Free Form,65,Medium,71,Double,40,Normal,Cover,81.08461538461539,80.0
226,FC Schalke 04,10189.0,2008/2009,65,Balanced,Little,55,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,70,High,45,Press,70,Wide,Cover,78.8,77.75
227,FC Schalke 04,10189.0,2009/2010,65,Balanced,Little,55,Mixed,Organised,55,Normal,70,Lots,70,Lots,Organised,70,High,45,Press,70,Wide,Cover,75.65,84.0
228,FC Schalke 04,10189.0,2010/2011,63,Balanced,Little,57,Mixed,Organised,55,Normal,70,Lots,62,Normal,Organised,37,Medium,67,Double,38,Normal,Cover,76.05714285714286,86.0
229,FC Schalke 04,10189.0,2011/2012,50,Balanced,Little,36,Mixed,Organised,59,Normal,52,Normal,56,Normal,Organised,43,Medium,44,Press,53,Normal,Cover,77.7,72.5
230,FC Schalke 04,10189.0,2014/2015,39,Balanced,Normal,45,Mixed,Organised,42,Normal,56,Normal,41,Normal,Organised,51,Medium,51,Press,40,Normal,Cover,76.18181818181819,71.36363636363636
231,FC Schalke 04,10189.0,2015/2016,58,Balanced,Normal,42,Mixed,Organised,64,Normal,61,Normal,37,Normal,Organised,55,Medium,59,Press,56,Normal,Cover,77.26666666666667,82.0
232,Hannover 96,9904.0,2008/2009,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,72.5,84.0
233,Hannover 96,9904.0,2009/2010,55,Balanced,Little,70,Long,Organised,65,Normal,45,Normal,65,Normal,Organised,70,High,70,Double,70,Wide,Cover,71.16666666666667,74.0
234,Hannover 96,9904.0,2010/2011,55,Balanced,Little,56,Mixed,Organised,55,Normal,43,Normal,53,Normal,Organised,39,Medium,37,Press,53,Normal,Cover,73.18,72.4
235,Hannover 96,9904.0,2011/2012,65,Balanced,Little,58,Mixed,Organised,63,Normal,44,Normal,64,Normal,Organised,39,Medium,45,Press,47,Normal,Cover,75.3,78.0
236,Hannover 96,9904.0,2014/2015,48,Balanced,Normal,38,Mixed,Organised,38,Normal,51,Normal,40,Normal,Organised,37,Medium,48,Press,56,Normal,Cover,73.3375,79.0
237,Hannover 96,9904.0,2015/2016,48,Balanced,Normal,41,Mixed,Organised,38,Normal,51,Normal,40,Normal,Organised,35,Medium,50,Press,61,Normal,Cover,72.9,80.0
238,VfL Wolfsburg,8721.0,2008/2009,65,Balanced,Little,45,Mixed,Organised,65,Normal,60,Normal,70,Lots,Organised,45,Medium,60,Press,50,Normal,Cover,76.33333333333333,80.0
239,VfL Wolfsburg,8721.0,2009/2010,65,Balanced,Little,45,Mixed,Organised,65,Normal,60,Normal,70,Lots,Organised,45,Medium,60,Press,50,Normal,Cover,78.15,75.5
240,VfL Wolfsburg,8721.0,2010/2011,65,Balanced,Little,45,Mixed,Organised,65,Normal,36,Normal,51,Normal,Organised,58,Medium,47,Press,66,Normal,Cover,77.14285714285714,78.42857142857143
241,VfL Wolfsburg,8721.0,2011/2012,54,Balanced,Little,59,Mixed,Organised,67,Risky,56,Normal,48,Normal,Organised,38,Medium,40,Press,45,Normal,Cover,74.78,76.2
242,VfL Wolfsburg,8721.0,2014/2015,58,Balanced,Lots,45,Mixed,Organised,68,Risky,60,Normal,54,Normal,Organised,59,Medium,48,Press,47,Normal,Cover,78.19333333333333,78.0
243,VfL Wolfsburg,8721.0,2015/2016,68,Fast,Normal,57,Mixed,Organised,69,Risky,66,Normal,50,Normal,Organised,66,Medium,46,Press,55,Normal,Cover,79.65,77.5
244,1. FC Köln,8722.0,2008/2009,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,70.52,75.0
245,1. FC Köln,8722.0,2009/2010,55,Balanced,Little,65,Mixed,Organised,65,Normal,40,Normal,60,Normal,Organised,45,Medium,55,Press,70,Wide,Cover,73.93333333333334,74.0
246,1. FC Köln,8722.0,2010/2011,58,Balanced,Little,71,Long,Organised,42,Normal,39,Normal,50,Normal,Organised,40,Medium,40,Press,56,Normal,Cover,73.3,73.6
247,1. FC Köln,8722.0,2011/2012,53,Balanced,Little,53,Mixed,Organised,57,Normal,44,Normal,57,Normal,Organised,43,Medium,55,Press,67,Wide,Cover,73.68571428571428,78.0
248,1. FC Köln,8722.0,2014/2015,59,Balanced,Normal,57,Mixed,Organised,53,Normal,47,Normal,59,Normal,Organised,57,Medium,46,Press,54,Normal,Cover,71.775,74.0
249,1. FC Köln,8722.0,2015/2016,59,Balanced,Normal,65,Mixed,Organised,57,Normal,36,Normal,71,Lots,Organised,42,Medium,56,Press,51,Normal,Cover,74.67058823529412,79.3529411764706
250,Eintracht Frankfurt,9810.0,2009/2010,60,Balanced,Little,35,Mixed,Organised,35,Normal,70,Lots,60,Normal,Organised,65,Medium,30,Contain,45,Normal,Cover,72.45,74.0
251,Eintracht Frankfurt,9810.0,2010/2011,52,Balanced,Little,43,Mixed,Organised,62,Normal,62,Normal,41,Normal,Organised,48,Medium,50,Press,53,Normal,Cover,73.08,73.0
252,Eintracht Frankfurt,9810.0,2014/2015,63,Balanced,Normal,42,Mixed,Organised,57,Normal,50,Normal,52,Normal,Organised,43,Medium,46,Press,55,Normal,Cover,73.875,77.66666666666667
253,Eintracht Frankfurt,9810.0,2015/2016,51,Balanced,Normal,38,Mixed,Organised,47,Normal,58,Normal,40,Normal,Organised,48,Medium,42,Press,55,Normal,Cover,74.58333333333333,75.0
254,Hertha BSC Berlin,8177.0,2008/2009,60,Balanced,Little,50,Mixed,Organised,45,Normal,55,Normal,55,Normal,Organised,55,Medium,30,Contain,55,Normal,Cover,75.25,79.0
255,Hertha BSC Berlin,8177.0,2009/2010,60,Balanced,Little,50,Mixed,Organised,45,Normal,55,Normal,55,Normal,Organised,55,Medium,30,Contain,55,Normal,Cover,73.36666666666666,81.0
256,Hertha BSC Berlin,8177.0,2011/2012,48,Balanced,Little,45,Mixed,Organised,45,Normal,51,Normal,46,Normal,Organised,50,Medium,50,Press,55,Normal,Cover,73.2,76.0
257,Hertha BSC Berlin,8177.0,2014/2015,68,Fast,Normal,55,Mixed,Organised,51,Normal,59,Normal,59,Normal,Organised,41,Medium,60,Press,51,Normal,Cover,73.52857142857142,74.64285714285714
258,Hertha BSC Berlin,8177.0,2015/2016,47,Balanced,Normal,55,Mixed,Organised,59,Normal,68,Lots,45,Normal,Organised,50,Medium,45,Press,57,Normal,Cover,75.15625,74.125
259,DSC Arminia Bielefeld,9912.0,2008/2009,40,Balanced,Little,65,Mixed,Organised,45,Normal,70,Lots,50,Normal,Organised,45,Medium,40,Press,50,Normal,Cover,70.45,79.0
260,SV Werder Bremen,8697.0,2008/2009,70,Fast,Little,40,Mixed,Organised,70,Risky,40,Normal,70,Lots,Organised,70,High,65,Press,70,Wide,Cover,78.3625,81.0
261,SV Werder Bremen,8697.0,2009/2010,70,Fast,Little,40,Mixed,Organised,70,Risky,40,Normal,70,Lots,Organised,70,High,65,Press,70,Wide,Cover,78.225,83.0
262,SV Werder Bremen,8697.0,2010/2011,64,Balanced,Little,40,Mixed,Organised,65,Normal,48,Normal,64,Normal,Organised,64,Medium,48,Press,68,Wide,Cover,75.78333333333333,79.66666666666667
263,SV Werder Bremen,8697.0,2011/2012,54,Balanced,Little,40,Mixed,Organised,68,Risky,58,Normal,48,Normal,Organised,49,Medium,50,Press,65,Normal,Cover,74.12,83.0
264,SV Werder Bremen,8697.0,2014/2015,40,Balanced,Normal,47,Mixed,Organised,37,Normal,40,Normal,51,Normal,Organised,40,Medium,50,Press,45,Normal,Cover,72.34615384615384,70.84615384615384
265,SV Werder Bremen,8697.0,2015/2016,56,Balanced,Normal,63,Mixed,Organised,68,Risky,66,Normal,58,Normal,Organised,63,Medium,47,Press,73,Wide,Cover,,75.0
266,TSG 1899 Hoffenheim,8226.0,2008/2009,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,74.85,76.5
267,TSG 1899 Hoffenheim,8226.0,2009/2010,70,Fast,Little,30,Short,Organised,70,Risky,55,Normal,55,Normal,Organised,65,Medium,70,Double,65,Normal,Offside Trap,75.8,74.0
268,TSG 1899 Hoffenheim,8226.0,2010/2011,75,Fast,Little,35,Mixed,Organised,72,Risky,51,Normal,68,Lots,Free Form,68,High,50,Press,52,Normal,Cover,75.35,73.0
269,TSG 1899 Hoffenheim,8226.0,2011/2012,61,Balanced,Little,53,Mixed,Organised,42,Normal,62,Normal,54,Normal,Organised,47,Medium,59,Press,40,Normal,Cover,74.025,77.0
270,TSG 1899 Hoffenheim,8226.0,2014/2015,68,Fast,Normal,63,Mixed,Organised,68,Risky,38,Normal,55,Normal,Free Form,56,Medium,57,Press,54,Normal,Cover,74.48333333333333,78.0
271,TSG 1899 Hoffenheim,8226.0,2015/2016,69,Fast,Normal,53,Mixed,Organised,66,Normal,62,Normal,59,Normal,Organised,63,Medium,61,Press,38,Normal,Cover,75.01875,78.0
272,Borussia Mönchengladbach,9788.0,2008/2009,65,Balanced,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover,71.9,72.0
273,Borussia Mönchengladbach,9788.0,2009/2010,65,Balanced,Little,45,Mixed,Organised,50,Normal,70,Lots,65,Normal,Organised,55,Medium,40,Press,65,Normal,Cover,73.1,70.0
274,Borussia Mönchengladbach,9788.0,2010/2011,63,Balanced,Little,46,Mixed,Organised,60,Normal,51,Normal,61,Normal,Organised,49,Medium,58,Press,49,Normal,Cover,73.2,71.0
275,Borussia Mönchengladbach,9788.0,2011/2012,57,Balanced,Little,64,Mixed,Organised,54,Normal,48,Normal,55,Normal,Organised,33,Deep,43,Press,38,Normal,Cover,74.53333333333333,79.0
276,Borussia Mönchengladbach,9788.0,2014/2015,31,Slow,Normal,32,Short,Organised,38,Normal,26,Little,49,Normal,Free Form,43,Medium,50,Press,41,Normal,Cover,76.23333333333333,80.0
277,Borussia Mönchengladbach,9788.0,2015/2016,31,Slow,Normal,32,Short,Organised,38,Normal,26,Little,49,Normal,Free Form,41,Medium,48,Press,39,Normal,Cover,76.03571428571429,81.35714285714286
278,VfB Stuttgart,10269.0,2008/2009,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,75.1,80.0
279,VfB Stuttgart,10269.0,2009/2010,70,Fast,Little,30,Short,Organised,60,Normal,70,Lots,70,Lots,Organised,65,Medium,50,Press,60,Normal,Cover,76.2,79.0
280,VfB Stuttgart,10269.0,2010/2011,64,Balanced,Little,48,Mixed,Organised,60,Normal,62,Normal,56,Normal,Organised,45,Medium,56,Press,39,Normal,Cover,74.56666666666666,73.0
